component_id,size_cells,centroid_px,centroid_py,centroid_map_x,centroid_map_y
53835,2,4556.5,1230.0,99.575,162.850
53838,2,4564.5,1230.0,99.975,162.850
53839,2,4570.5,1230.0,100.275,162.850
53841,2,4576.5,1230.0,100.575,162.850
53842,2,4584.5,1230.0,100.975,162.850
53844,2,4592.5,1230.0,101.375,162.850
53845,2,4594.5,1230.0,101.475,162.850
53847,2,4600.5,1230.0,101.775,162.850
53849,2,4610.5,1230.0,102.275,162.850
53853,2,4644.5,1230.0,103.975,162.850
53855,2,4654.5,1230.0,104.475,162.850
53858,2,4662.5,1230.0,104.875,162.850
53859,2,4664.5,1230.0,104.975,162.850
53860,2,4666.5,1230.0,105.075,162.850
53862,2,4680.5,1230.0,105.775,162.850
53864,2,4684.5,1230.0,105.975,162.850
53865,2,4690.5,1230.0,106.275,162.850
53867,2,4704.5,1230.0,106.975,162.850
53868,2,4716.5,1230.0,107.575,162.850
53869,2,4718.5,1230.0,107.675,162.850
53870,2,4724.5,1230.0,107.975,162.850
53871,2,4732.5,1230.0,108.375,162.850
53874,2,4750.5,1230.0,109.275,162.850
53877,2,4766.5,1230.0,110.075,162.850
53878,2,4768.5,1230.0,110.175,162.850
53881,2,4786.5,1230.0,111.075,162.850
53891,2,4908.5,1230.0,117.175,162.850
53894,2,4922.5,1230.0,117.875,162.850
53897,2,4984.5,1230.0,120.975,162.850
53902,2,5014.5,1230.0,122.475,162.850
53904,2,5024.5,1230.0,122.975,162.850
53905,2,5030.5,1230.0,123.275,162.850
53913,2,5125.0,1230.0,128.000,162.850
53915,2,5138.5,1230.0,128.675,162.850
53918,3,5215.0,1230.0,132.500,162.850
53920,2,5220.5,1230.0,132.775,162.850
54006,2,3417.0,1230.5,42.600,162.825
54026,2,3687.0,1230.5,56.100,162.825
54164,2,5395.0,1230.5,141.500,162.825
54361,2,3917.0,1232.5,67.600,162.725
54364,2,3937.0,1232.5,68.600,162.725
54587,2,5125.0,1232.5,128.000,162.725
54771,2,3597.0,1234.5,51.600,162.625
54790,2,3767.0,1234.5,60.100,162.625
54832,2,4017.0,1234.5,72.600,162.625
55201,2,3527.0,1236.5,48.100,162.525
55212,2,3647.0,1236.5,54.100,162.525
55628,2,3127.5,1240.0,28.125,162.350
55630,2,3167.0,1239.5,30.100,162.375
55636,2,3367.0,1239.5,40.100,162.375
55637,2,3376.5,1240.0,40.575,162.350
55639,2,3387.5,1240.0,41.125,162.350
55641,2,3406.5,1240.0,42.075,162.350
55642,2,3440.5,1240.0,43.775,162.350
55645,2,3450.5,1240.0,44.275,162.350
55651,2,3560.5,1240.0,49.775,162.350
55654,3,3597.0,1240.0,51.600,162.350
55655,2,3604.5,1240.0,51.975,162.350
55658,2,3654.5,1240.0,54.475,162.350
55662,2,3750.5,1240.0,59.275,162.350
55665,2,3772.5,1240.0,60.375,162.350
55666,2,3784.5,1240.0,60.975,162.350
55671,2,3812.5,1240.0,62.375,162.350
55672,2,3814.5,1240.0,62.475,162.350
55677,2,3852.5,1240.0,64.375,162.350
55680,2,3867.5,1240.0,65.125,162.350
55682,2,3877.0,1240.0,65.600,162.350
55686,2,3900.5,1240.0,66.775,162.350
55687,2,3904.5,1240.0,66.975,162.350
55688,2,3914.5,1240.0,67.475,162.350
55690,2,3927.5,1240.0,68.125,162.350
55694,2,3947.0,1240.0,69.100,162.350
55696,3,3967.0,1240.0,70.100,162.350
55697,3,3977.0,1240.0,70.600,162.350
55699,2,3987.5,1240.0,71.125,162.350
55702,2,4000.5,1240.0,71.775,162.350
55703,2,4002.5,1240.0,71.875,162.350
55705,2,4037.0,1239.5,73.600,162.375
55706,2,4052.5,1240.0,74.375,162.350
55707,3,4057.0,1240.0,74.600,162.350
55710,2,4064.5,1240.0,74.975,162.350
55713,2,4087.5,1240.0,76.125,162.350
55718,2,4130.5,1240.0,78.275,162.350
55721,2,4160.5,1240.0,79.775,162.350
55723,2,4164.5,1240.0,79.975,162.350
55726,2,4178.5,1240.0,80.675,162.350
55730,2,4192.5,1240.0,81.375,162.350
55732,2,4202.5,1240.0,81.875,162.350
55734,2,4206.5,1240.0,82.075,162.350
55735,2,4214.5,1240.0,82.475,162.350
55740,2,4234.5,1240.0,83.475,162.350
55743,2,4250.5,1240.0,84.275,162.350
55746,2,4278.5,1240.0,85.675,162.350
55748,2,4288.5,1240.0,86.175,162.350
55752,2,4316.5,1240.0,87.575,162.350
55754,2,4340.5,1240.0,88.775,162.350
55755,2,4342.5,1240.0,88.875,162.350
55756,2,4346.5,1240.0,89.075,162.350
55758,2,4360.5,1240.0,89.775,162.350
55759,2,4372.5,1240.0,90.375,162.350
55760,2,4376.5,1240.0,90.575,162.350
55761,2,4378.5,1240.0,90.675,162.350
55762,2,4380.5,1240.0,90.775,162.350
55763,2,4390.5,1240.0,91.275,162.350
55764,2,4392.5,1240.0,91.375,162.350
55765,2,4394.5,1240.0,91.475,162.350
55768,2,4400.5,1240.0,91.775,162.350
55770,2,4404.5,1240.0,91.975,162.350
55771,2,4406.5,1240.0,92.075,162.350
55773,2,4410.5,1240.0,92.275,162.350
55774,2,4414.5,1240.0,92.475,162.350
55776,2,4418.5,1240.0,92.675,162.350
55778,2,4422.5,1240.0,92.875,162.350
55780,2,4430.5,1240.0,93.275,162.350
55782,2,4436.5,1240.0,93.575,162.350
55784,2,4444.5,1240.0,93.975,162.350
55785,2,4446.5,1240.0,94.075,162.350
55787,2,4456.5,1240.0,94.575,162.350
